Survived,Ticket,number,Cabin
0,330911,5,
1,363272,3,C85
0,240276,6,
0,315154,3,E31
1,3101298,A,
0,7538,5,C123
1,330972,3,
0,248738,6,
1,2657,3,
0,A/4 48871,A,
0,349220,5,
0,694,3,
1,21228,6,B45
0,24065,3,
1,W.E.P. 5734,A,E31
1,SC/PARIS 2167,5,
0,233734,3,
0,2692,6,
1,STON/O2. 3101270,3,
1,2696,A,
0,PC 17603,5,
0,C 17368,3,
1,PC 17598,6,
0,PC 17597,3,
1,PC 17608,A,B57 B59 B63 B66
0,A/5. 3337,5,
1,113509,3,B36
0,2698,6,
0,113054,3,A21
0,2662,A,
0,SC/AH 3085,5,
0,C.A. 31029,3,
1,C.A. 2315,6,
1,W./C. 6607,3,
0,13236,A,C78
0,2682,5,
1,342712,3,
1,315087,6,
0,345768,3,
0,1601,A,
0,349256,5,
0,113778,3,D34
0,SOTON/O.Q. 3101263,6,
1,237249,3,
1,11753,A,D19
0,STON/O 2. 3101291,5,
0,PC 17594,3,A9
0,370374,6,
1,11813,3,D15
1,C.A. 37671,A,
0,13695,5,C31
0,SC/PARIS 2168,3,
1,29105,6,
1,19950,3,C23 C25 C27
0,SC/A.3 2861,5,
0,382652,3,
0,349230,6,
0,348122,3,F G63
0,386525,A,
1,PC 17608,5,B61
0,349232,3,
0,237216,6,
0,347090,3,
1,334914,A,
0,PC 17608,5,B57 B59 B63 B66
1,F.C.C. 13534,3,
1,330963,6,
0,113796,3,
0,2543,A,C53
1,19950,5,C23 C25 C27
1,382653,3,
0,349211,6,
1,3101297,3,
0,PC 17562,A,D43
1,113503,5,C130
0,113503,3,C132
0,359306,6,
1,11770,3,C101
0,248744,A,
1,368702,5,
0,2678,3,
0,PC 17483,6,C55 C57
0,19924,3,
0,349238,A,
0,240261,5,
0,2660,3,
1,330844,6,
1,A/4 31416,3,
1,364856,A,
0,29103,5,
1,347072,3,
0,345498,6,
1,F.C. 12750,3,B71
0,376563,A,
0,13905,5,
0,350033,3,
1,19877,6,C46
0,STON/O 2. 3101268,3,
1,347471,A,
0,A./5. 3338,5,
1,11778,3,C116
0,228414,6,
0,365235,3,
0,347070,A,
1,2625,5,
0,C 4001,3,
0,330920,6,
0,383162,3,
0,3410,A,
0,248734,5,F
0,237734,3,
1,330968,6,
1,PC 17531,3,A29
1,329944,A,
1,PC 17483,5,C55 C57
0,2680,3,
0,2681,6,
1,PP 9549,3,G6
0,13050,A,C6
1,SC/AH 29037,5,
1,C.A. 33595,3,
0,367227,6,
1,13236,3,C28
0,392095,A,
0,368783,5,
1,371362,3,
0,350045,6,
1,367226,3,
0,211535,A,
0,342441,5,
0,STON/OQ. 369943,3,
0,113780,6,C51
1,4133,3,
0,2621,A,
0,349226,5,
0,350409,3,
0,2656,6,
0,248659,3,
1,SOTON/OQ 392083,A,
0,CA 2144,5,
1,CA 2144,3,
1,113781,6,
0,PC 17608,3,B57 B59 B63 B66
0,244358,A,
0,17475,5,
0,345763,3,
0,17463,6,E46
0,SC/A4 23568,3,
0,113791,A,
0,250651,5,
1,11767,3,C54
0,349255,6,
0,3701,3,
1,350405,A,
0,347077,5,
0,S.O./P.P. 752,3,
1,PC 17483,6,C97
1,347469,3,
0,110489,A,D22
1,SOTON/O.Q. 3101315,5,
1,335432,3,
0,2650,6,
1,220844,3,
0,343271,A,
0,237393,5,
1,315153,3,
0,PC 17591,6,B10
0,W./C. 6608,3,
1,17770,A,
1,7548,5,
0,S.O./P.P. 251,3,
0,2670,6,
0,347072,3,
0,2673,A,
0,347077,5,
1,29750,3,
1,C.A. 33112,6,
0,11778,3,C116
1,230136,A,F4
